s,p,o
odang_person_7226615,P27,Q183
odang_person_7226615,P569,1959
odang_person_7226615,message,54
195,refersTo,odang_person_5924866
odang_person_5924866,label_it,Vera Búcsú
odang_person_5924866,P106,Q43845
odang_person_5924866,P1412,Q9067
odang_person_5924866,P21,Q6581072
odang_person_5924866,P27,Q28
odang_person_5924866,P551,Q1028261
odang_person_5924866,message,195
118,refersTo,odang_person_2417786
odang_person_2417786,label_it,Titus Oates
odang_person_2417786,P106,Q42603
odang_person_2417786,P19,Q1001942
odang_person_2417786,P20,Q84
odang_person_2417786,P21,Q6581097
odang_person_2417786,P27,Q179876
odang_person_2417786,P569,1649
odang_person_2417786,P611,Q36380
odang_person_2417786,message,118
144,refersTo,odang_person_1268600
odang_person_1268600,label_it,Joseph Monin
odang_person_1268600,P106,Q955464
odang_person_1268600,P1412,Q150
odang_person_1268600,P166,Q163700
odang_person_1268600,P19,Q696127
odang_person_1268600,P20,Q430926
odang_person_1268600,P21,Q6581097
odang_person_1268600,P27,Q142
odang_person_1268600,P39,Q1782975
odang_person_1268600,P569,1741
odang_person_1268600,message,144
174,refersTo,odang_person_4939495
odang_person_4939495,label_it,Erdal Ata
odang_person_4939495,P103,Q256
odang_person_4939495,P106,Q572700
odang_person_4939495,P1412,Q256
odang_person_4939495,P21,Q6581097
odang_person_4939495,P27,Q43
odang_person_4939495,P569,1957
odang_person_4939495,message,174
128,refersTo,odang_person_4906822
odang_person_4906822,label_it,Bertrand Dibessa
odang_person_4906822,P106,Q3665646
odang_person_4906822,P21,Q6581097
odang_person_4906822,P27,Q971
odang_person_4906822,P569,1981
odang_person_4906822,message,128
154,refersTo,odang_person_4108434
odang_person_4108434,label_it,Paul Suttman
odang_person_4108434,P106,Q1281618
odang_person_4108434,P21,Q6581097
odang_person_4108434,P27,Q30
odang_person_4108434,P569,1933
odang_person_4108434,message,154
126,refersTo,odang_person_5548204
odang_person_5548204,label_it,Jean-Pierre Gehri
odang_person_5548204,P106,Q8473
odang_person_5548204,P21,Q6581097
odang_person_5548204,P569,1916
odang_person_5548204,message,126
41,refersTo,odang_person_6472883
odang_person_6472883,label_it,Nils Björkander
odang_person_6472883,P106,Q36834
odang_person_6472883,P1066,Q1340298
odang_person_6472883,P19,Q1754
odang_person_6472883,P20,Q26518
odang_person_6472883,P21,Q6581097
odang_person_6472883,P27,Q34
odang_person_6472883,P569,1893
odang_person_6472883,message,41
188,refersTo,odang_person_6065612
odang_person_6065612,label_it,Gudmund Jöran Adlerbeth
odang_person_6065612,P106,Q82955
odang_person_6065612,P119,Q10684546
odang_person_6065612,P1412,Q9027
odang_person_6065612,P19,Q10542102
odang_person_6065612,P20,Q10684545
odang_person_6065612,P21,Q6581097
odang_person_6065612,P22,Q101210627
odang_person_6065612,P27,Q34
odang_person_6065612,P39,Q10655117
odang_person_6065612,P40,Q3805768
odang_person_6065612,P463,Q207360
odang_person_6065612,P569,1751
odang_person_6065612,message,188
66,refersTo,odang_person_7939301
odang_person_7939301,label_it,Keet Oldenbeuving
odang_person_7939301,P106,Q17502714
odang_person_7939301,P166,Q22987695
odang_person_7939301,P19,Q39297398
odang_person_7939301,P21,Q6581072
odang_person_7939301,P27,Q29999
odang_person_7939301,P569,2004
odang_person_7939301,message,66
153,refersTo,odang_person_4480459
odang_person_4480459,label_it,Florestan Ziem
odang_person_4480459,P106,Q1650915
odang_person_4480459,message,153
152,refersTo,odang_person_5300601
odang_person_5300601,label_it,Jos Velle
odang_person_5300601,P27,Q31
odang_person_5300601,P551,Q727
odang_person_5300601,message,152
154,refersTo,odang_person_3591814
odang_person_3591814,label_it,Maximilián Švabinský
odang_person_3591814,P103,Q9056
odang_person_3591814,P106,Q1028181
odang_person_3591814,P119,Q118967
odang_person_3591814,P1412,Q9056
odang_person_3591814,P166,Q6970486
odang_person_3591814,P19,Q158239
odang_person_3591814,P20,Q1085
odang_person_3591814,P21,Q6581097
odang_person_3591814,P26,Q81896806
odang_person_3591814,P27,Q33946
odang_person_3591814,P569,1873
odang_person_3591814,message,154
182,refersTo,odang_person_8421429
odang_person_8421429,label_it,Csaba Horváth
odang_person_8421429,P106,Q937857
odang_person_8421429,P1412,Q9058
odang_person_8421429,P19,Q646393
odang_person_8421429,P21,Q6581097
odang_person_8421429,P27,Q214
odang_person_8421429,P569,1982
odang_person_8421429,message,182
72,refersTo,odang_person_9157501
odang_person_9157501,label_it,Maffeo Agostini
odang_person_9157501,P21,Q6581097
odang_person_9157501,message,72
193,refersTo,odang_person_3542527
odang_person_3542527,label_it,Maria von Haberler
odang_person_3542527,P1412,Q188
odang_person_3542527,P19,Q1735
odang_person_3542527,P20,Q49661
odang_person_3542527,P21,Q6581072
odang_person_3542527,P22,Q106991497
odang_person_3542527,P27,Q533534
odang_person_3542527,P569,1903
odang_person_3542527,message,193
51,refersTo,odang_person_14965
odang_person_14965,label_it,Greg Wise
odang_person_14965,P106,Q33999
odang_person_14965,P1412,Q1860
odang_person_14965,P19,Q1425428
odang_person_14965,P21,Q6581097
odang_person_14965,P26,Q168724
odang_person_14965,P27,Q145
odang_person_14965,P569,1966
odang_person_14965,message,51
149,refersTo,odang_person_7750706
odang_person_7750706,label_it,Alessandro Simonati
odang_person_7750706,P106,Q1650915
odang_person_7750706,P21,Q6581097
odang_person_7750706,message,149
64,refersTo,odang_person_3749208
odang_person_3749208,label_it,Stefan Samuelsson
odang_person_3749208,P106,Q18702210
odang_person_3749208,P21,Q6581097
odang_person_3749208,P27,Q34
odang_person_3749208,P569,1960
odang_person_3749208,message,64
100,refersTo,odang_person_2492615
odang_person_2492615,label_it,Alessandro Magni
odang_person_2492615,P106,Q937857
odang_person_2492615,P1412,Q652
odang_person_2492615,P19,Q6231
odang_person_2492615,P20,Q1449
odang_person_2492615,P21,Q6581097
odang_person_2492615,P27,Q38
odang_person_2492615,P569,1894
odang_person_2492615,message,100
101,refersTo,odang_person_8495701
odang_person_8495701,label_it,Charles Muhire
odang_person_8495701,P106,Q47064
odang_person_8495701,P21,Q6581097
odang_person_8495701,message,101
19,refersTo,odang_person_7357304
odang_person_7357304,label_it,Philip Dray
odang_person_7357304,P106,Q36180
odang_person_7357304,P21,Q6581097
odang_person_7357304,P27,Q30
odang_person_7357304,P569,1950
odang_person_7357304,message,19
184,refersTo,odang_person_204585
odang_person_204585,label_it,Thomas W. Stivers
odang_person_204585,P106,Q47064
odang_person_204585,P166,Q203535
odang_person_204585,P19,Q501172
odang_person_204585,P21,Q6581097
odang_person_204585,P27,Q30
odang_person_204585,P569,1850
odang_person_204585,message,184
111,refersTo,odang_person_2483164
odang_person_2483164,label_it,Lâadi Flici
odang_person_2483164,P106,Q39631
odang_person_2483164,P1412,Q150
odang_person_2483164,P19,Q3561
odang_person_2483164,P20,Q662102
odang_person_2483164,P21,Q6581097
odang_person_2483164,P27,Q262
odang_person_2483164,P569,1937
odang_person_2483164,message,111
56,refersTo,odang_person_5908164
odang_person_5908164,label_it,Barbara Visentin
odang_person_5908164,P106,Q201788
odang_person_5908164,P21,Q6581072
odang_person_5908164,P569,1972
odang_person_5908164,message,56
150,refersTo,odang_person_4816129
odang_person_4816129,label_it,Dietfried Müller-Hegemann
odang_person_4816129,P106,Q783906
odang_person_4816129,P108,Q154804
odang_person_4816129,P1412,Q188
odang_person_4816129,P166,Q19110774
odang_person_4816129,P19,Q437
odang_person_4816129,P20,Q2066
odang_person_4816129,P21,Q6581097
odang_person_4816129,P27,Q183
odang_person_4816129,P569,1910
odang_person_4816129,P937,Q2079
odang_person_4816129,message,150
127,refersTo,odang_person_4839575
odang_person_4839575,label_it,Max Neumeister
odang_person_4839575,P106,Q121594
odang_person_4839575,P108,Q772334
odang_person_4839575,P1412,Q188
odang_person_4839575,P19,Q159828
odang_person_4839575,P20,Q1731
odang_person_4839575,P21,Q6581097
odang_person_4839575,P27,Q183
odang_person_4839575,P39,Q11165895
odang_person_4839575,P463,Q543804
odang_person_4839575,P569,1849
odang_person_4839575,message,127
182,refersTo,odang_person_1988402
odang_person_1988402,label_it,Toribio José del Campo Pando
odang_person_1988402,P569,1743
odang_person_1988402,message,182
97,refersTo,odang_person_7317124
odang_person_7317124,label_it,Graham Coldrick
odang_person_7317124,P106,Q937857
odang_person_7317124,P1412,Q1860
odang_person_7317124,P19,Q101254
odang_person_7317124,P21,Q6581097
odang_person_7317124,P27,Q145
odang_person_7317124,P569,1945
odang_person_7317124,message,97
170,refersTo,odang_person_3588250
odang_person_3588250,label_it,Ilse Heß
odang_person_3588250,P102,Q7320
odang_person_3588250,P106,Q482980
odang_person_3588250,P119,Q495778
odang_person_3588250,P1412,Q188
odang_person_3588250,P19,Q1715
odang_person_3588250,P20,Q499920
odang_person_3588250,P21,Q6581072
odang_person_3588250,P26,Q75866
odang_person_3588250,P27,Q183
odang_person_3588250,P40,Q70823
odang_person_3588250,P569,1900
odang_person_3588250,message,170
123,refersTo,odang_person_8488970
odang_person_8488970,label_it,Augusta Clawson
odang_person_8488970,P106,Q36180
odang_person_8488970,P21,Q6581072
odang_person_8488970,P27,Q30
odang_person_8488970,P569,1903
odang_person_8488970,message,123
93,refersTo,odang_person_8521512
odang_person_8521512,label_it,Igor Fatin
odang_person_8521512,P106,Q937857
odang_person_8521512,P1412,Q7737
odang_person_8521512,P21,Q6581097
odang_person_8521512,P27,Q159
odang_person_8521512,P569,1962
odang_person_8521512,message,93
13,refersTo,odang_person_8688811
odang_person_8688811,label_it,Detlef Blöcher
odang_person_8688811,P106,Q482980
odang_person_8688811,P1412,Q188
odang_person_8688811,P19,Q1794
odang_person_8688811,P21,Q6581097
odang_person_8688811,P27,Q183
odang_person_8688811,P569,1953
odang_person_8688811,P937,Q1794
odang_person_8688811,message,13
24,refersTo,odang_person_7044
odang_person_7044,label_it,Rodolfo II d'Asburgo
odang_person_7044,P106,Q82955
odang_person_7044,P119,Q5949
odang_person_7044,P1412,Q188
odang_person_7044,P166,Q15117228
odang_person_7044,P172,Q170217
odang_person_7044,P19,Q1741
odang_person_7044,P20,Q1085
odang_person_7044,P21,Q6581097
odang_person_7044,P22,Q150862
odang_person_7044,P25,Q159660
odang_person_7044,P27,Q12548
odang_person_7044,P3373,Q79158
odang_person_7044,P39,Q181765
odang_person_7044,P40,Q320916
odang_person_7044,P53,Q65968
odang_person_7044,P569,1552
odang_person_7044,message,24
52,refersTo,odang_person_3005184
odang_person_3005184,label_it,Ciro Cardone
odang_person_3005184,P106,Q61783220
odang_person_3005184,P1412,Q652
odang_person_3005184,P19,Q2634
odang_person_3005184,P21,Q6581097
odang_person_3005184,P27,Q38
odang_person_3005184,P551,Q2634
odang_person_3005184,message,52
59,refersTo,odang_person_1842372
odang_person_1842372,label_it,Franz-Xaver Leu
odang_person_1842372,P106,Q82955
odang_person_1842372,P27,Q39
odang_person_1842372,P39,Q65494714
odang_person_1842372,message,59
123,refersTo,odang_person_124400
odang_person_124400,label_it,Alan Smithson
odang_person_124400,P106,Q42603
odang_person_124400,P1412,Q1860
odang_person_124400,P172,Q842438
odang_person_124400,P19,Q22905
odang_person_124400,P20,Q23436
odang_person_124400,P21,Q6581097
odang_person_124400,P27,Q145
odang_person_124400,P569,1936
odang_person_124400,message,123
180,refersTo,odang_person_2452096
odang_person_2452096,label_it,Ludger Burmann
odang_person_2452096,P106,Q33999
odang_person_2452096,P1412,Q188
odang_person_2452096,P19,Q10936
odang_person_2452096,P21,Q6581097
odang_person_2452096,P27,Q183
odang_person_2452096,P569,1956
odang_person_2452096,message,180
81,refersTo,odang_person_1371463
odang_person_1371463,label_it,Simon Ohlsson
odang_person_1371463,P106,Q177220
odang_person_1371463,P21,Q6581097
odang_person_1371463,P27,Q34
odang_person_1371463,P569,2000
odang_person_1371463,message,81
141,refersTo,odang_person_4845313
odang_person_4845313,label_it,Rudolf Obauer
odang_person_4845313,P106,Q482980
odang_person_4845313,P1412,Q188
odang_person_4845313,P19,Q255361
odang_person_4845313,P21,Q6581097
odang_person_4845313,P27,Q40
odang_person_4845313,P569,1961
odang_person_4845313,message,141
59,refersTo,odang_person_7179837
odang_person_7179837,label_it,Adrien Douady
odang_person_7179837,P106,Q170790
odang_person_7179837,P108,Q209842
odang_person_7179837,P1412,Q150
odang_person_7179837,P166,Q262340
odang_person_7179837,P184,Q164405
odang_person_7179837,P19,Q1017260
odang_person_7179837,P20,Q234281
odang_person_7179837,P21,Q6581097
odang_person_7179837,P22,Q96314833
odang_person_7179837,P25,Q96314857
odang_person_7179837,P27,Q142
odang_person_7179837,P40,Q16193084
odang_person_7179837,P463,Q188771
odang_person_7179837,P569,1935
odang_person_7179837,message,59
43,refersTo,odang_person_5348485
odang_person_5348485,label_it,Pavel Dzhumaev
odang_person_5348485,P106,Q1650915
odang_person_5348485,P21,Q6581097
odang_person_5348485,message,43
93,refersTo,odang_person_1136884
odang_person_1136884,label_it,Remo Bertoncini
odang_person_1136884,P1412,Q652
odang_person_1136884,P19,Q16244
odang_person_1136884,P20,Q13375
odang_person_1136884,P21,Q6581097
odang_person_1136884,P27,Q172579
odang_person_1136884,message,93
142,refersTo,odang_person_2790743
odang_person_2790743,label_it,Valérie Goma
odang_person_2790743,P106,Q36180
odang_person_2790743,P1412,Q150
odang_person_2790743,P19,Q47465
odang_person_2790743,P21,Q6581072
odang_person_2790743,P27,Q142
odang_person_2790743,P569,1968
odang_person_2790743,message,142
83,refersTo,odang_person_3774010
odang_person_3774010,label_it,Oscar J. Corral
odang_person_3774010,P106,Q1930187
odang_person_3774010,P21,Q6581097
odang_person_3774010,P27,Q30
odang_person_3774010,P569,1974
odang_person_3774010,message,83
36,refersTo,odang_person_2651696
odang_person_2651696,label_it,Kalju Otu
odang_person_2651696,P106,Q44815943
odang_person_2651696,P21,Q6581097
odang_person_2651696,P569,1904
odang_person_2651696,message,36
117,refersTo,odang_person_149144
odang_person_149144,label_it,Geoffrey Wellum
odang_person_149144,P106,Q618694
odang_person_149144,P1412,Q1860
odang_person_149144,P166,Q1229534
odang_person_149144,P19,Q2321784
odang_person_149144,P20,Q2699015
odang_person_149144,P21,Q6581097
odang_person_149144,P27,Q145
odang_person_149144,P569,1921
odang_person_149144,message,117
140,refersTo,odang_person_4782555
odang_person_4782555,label_it,Andreas Wirsching
odang_person_4782555,P106,Q17489339
odang_person_4782555,P108,Q153978
odang_person_4782555,P1412,Q188
odang_person_4782555,P19,Q2966
odang_person_4782555,P21,Q6581097
odang_person_4782555,P27,Q183
odang_person_4782555,P463,Q684415
odang_person_4782555,P569,1959
odang_person_4782555,P937,Q2749
odang_person_4782555,message,140
111,refersTo,odang_person_1293811
odang_person_1293811,label_it,Raoul Barette
odang_person_1293811,P102,Q192821
odang_person_1293811,P106,Q82955
odang_person_1293811,P119,Q3006253
odang_person_1293811,P1412,Q150
odang_person_1293811,P19,Q224409
odang_person_1293811,P20,Q90
odang_person_1293811,P21,Q6581097
odang_person_1293811,P27,Q142
odang_person_1293811,P569,1891
odang_person_1293811,message,111
195,refersTo,odang_person_1384395
odang_person_1384395,label_it,Nicholas Burbules
odang_person_1384395,P106,Q4964182
odang_person_1384395,P21,Q6581097
odang_person_1384395,P569,1954
odang_person_1384395,message,195
104,refersTo,odang_person_1425664
odang_person_1425664,label_it,Noriko Sasaki
odang_person_1425664,P106,Q177220
odang_person_1425664,P1412,Q5287
odang_person_1425664,P19,Q130308
odang_person_1425664,P21,Q6581072
odang_person_1425664,P27,Q17
odang_person_1425664,P569,1958
