mention,wp_title,cosine
Ciro Isidoro,Ciro (patriarca di Costantinopoli),0.87364936
Ciro Isidoro,Isidoro I di Costantinopoli,0.7756374
Ciro Isidoro,Giuseppe Garibaldi,0.8630836
Ciro Isidoro,Isidoro II Xanthopoulos,0.788206
Ciro Isidoro,Carlo Alberto dalla Chiesa,0.8282095
Clementina Sasso,Jovanotti,0.87076914
Clementina Sasso,Fulvio Collovati,0.83958304
Clementina Sasso,Maria Luisa d'Asburgo-Lorena,0.84555745
Clinton,Bill Clinton,0.95028377
Clinton,Hillary Clinton,0.95134676
Clinton,Clint Eastwood,0.89664656
Clinton,Chelsea Clinton,0.9346363
Clinton,George Clinton (cantante),0.8592511
Clinton,George Clinton (politico),0.8796532
Clinton,Al Gore,0.8797654
Cmq,Cmqmartina,0.9271983
Cmq,Osvaldo Farrés,0.8021621
Comirnaty,Francesca Donato (politica),0.81493413
Condividiamo,Giorgia Meloni,0.8587296
Condividiamo,Nicolae Ceaușescu,0.78037506
Conte,Giuseppe Conte,0.9366316
Conte,Antonio Conte,0.9414656
Conte,Paolo Conte,0.93088406
"Conte

",Giuseppe Conte,0.9366316
"Conte

",Antonio Conte,0.9414656
"Conte

",Paolo Conte,0.93088406
"Conte 

Vi",Giuseppe Conte,0.8864869
"Conte 

Vi",Carlo VI d'Asburgo,0.85675263
"Conte 

Vi",Paolo Conte,0.8981483
"Conte 

Vi","Charles Spencer, VI conte Spencer",0.8595476
"Conte 

Vi",Edoardo VI d'Inghilterra,0.8668808
"Conte 

Vi",Antonio Conte,0.8919482
Conte II,Giuseppe Conte,0.88989276
Conte II,Umberto II di Savoia (conte),0.8786304
Conte II,Dario Franceschini,0.84042925
Conte II,Gaetano Manfredi,0.83224714
Conte II,Luigi Di Maio,0.7865341
Conte II,Vittorio Emanuele II di Savoia,0.8471361
Conte II,Elena Bonetti,0.86649764
Cornelius Vanderbilt,Cornelius Vanderbilt,1.0000001
Cornelius Vanderbilt,Cornelius Vanderbilt II,0.9652981
Cornelius Vanderbilt,William Henry Vanderbilt,0.9532334
Cornelius Vanderbilt,James Vanderbilt,0.97333944
Cornelius Vanderbilt,Eliza Osgood Vanderbilt,0.94387794
Cornelius Vanderbilt,Gertrude Vanderbilt Whitney,0.9118511
Cornelius Vanderbilt,William Kissam Vanderbilt,0.93683124
Cornelius Vanderbilt II,Cornelius Vanderbilt II,1.0000002
Cornelius Vanderbilt II,George Washington Vanderbilt II,0.95272464
Cornelius Vanderbilt II,William Henry Vanderbilt,0.9320277
Cornelius Vanderbilt II,Gertrude Vanderbilt Whitney,0.89963126
Cornelius Vanderbilt II,Reginald Claypoole Vanderbilt,0.91352415
Cornelius Vanderbilt II,William Kissam Vanderbilt,0.91937256
Cornelius Vanderbilt II,Gladys Vanderbilt Széchenyi,0.89387727
Corrias,Pino Corrias,0.87647253
Corrias,Efisio Corrias,0.90125453
Corrias,Giuseppe Corrias,0.89208794
Corrias,Salvatore Corrias,0.8917862
Corrias,Massimo Gramellini,0.83697736
Corrias,Alfredo Corrias,0.8984475
Corrias,Peppino Corrias,0.8797605
Cosco,Vincenzo Cosco,0.9070413
Cosco,Lea Garofalo,0.8507004
Craxi,Bettino Craxi,0.92472553
Craxi,Bobo Craxi,0.9224906
Craxi,Stefania Craxi,0.9248005
Crisanti,Andrea Crisanti (medico),0.89095366
Crisanti,Gabriele Crisanti,0.94197285
Crisanti,Lucia Crisanti,0.9522687
Crisanti,Andrea Crisanti (scenografo),0.89077425
D'Alema,Massimo D'Alema,0.95552784
D'Alema,Giuseppe D'Alema,0.9495008
D'Alema,Livia Turco,0.78846836
D'Alema,Pier Luigi Bersani,0.80458605
D'Alema,Sergio Mattarella,0.7842643
D'Amato,Joe D'Amato,0.9355874
D'Amato,Cus D'Amato,0.9474815
D'Amato,Federico Umberto D'Amato,0.915563
D'Amato,Franca D'Amato,0.9474012
D'Amato,Antonio D'Amato,0.9429363
D'Amato,Alice D'Amato,0.9453406
D'Amato,Asia D'Amato,0.951327
D'Amato,Al D'Amato,0.94109094
D'Amato,Vito D'Amato,0.95092547
Dan Scavino,Bruno Persa,0.827721
Danchenko,Vladimir Ivanovič Nemirovič-Dančenko,0.803851
Danchenko,Oleh Dančenko,0.8101195
Danchenko,Vladimir Putin,0.84966993
Danchenko,Dmitrij Kitaenko,0.83716726
Daniel Trappe,Marina Massironi,0.8688521
Daniel Trappe,Daniel Truhitte,0.9092618
Daniel Trappe,Luca Ward,0.8449757
Daniel Trappe,Sandro Acerbo,0.87410533
Daniele Capezzone,Daniele Capezzone,0.9999998
Daniele Capezzone,Salvatore Ferraro (1967),0.8544973
Daniele Capezzone,Carlo Caracciolo,0.8952074
Dario Franceschini,Dario Franceschini,1.0
Dario Franceschini,Elly Schlein,0.8081964
Dario Franceschini,Alberto Franceschini,0.9541819
Dario Franceschini,Enrico Letta,0.89003724
Dario Franceschini,Giorgio Franceschini,0.9519459
Dario Franceschini,Debora Serracchiani,0.88346595
Dave Martin....,Dave Gahan,0.82172585
Dave Martin....,Dave Bautista,0.8715117
Dave Martin....,Martin Gore,0.85906476
Dave Martin....,Dave Annable,0.8379201
Dave Martin....,Vince Clarke,0.7832385
Dave Martin....,Dean Martin,0.855684
Dave Martin....,Elvis Presley,0.7981774
Dave Martin....,Martin Short,0.85601014
David,Davide,0.9420184
David,David Per,0.9114365
David,David Ho,0.94304776
David,David Parenzo,0.9346765
David O'Connor,David O'Connor,1.0
David O'Connor,Donald O'Connor,0.97185886
David O'Connor,Kevin J. O'Connor,0.95893013
David O'Connor,Connor McDavid,0.8662201
David O'Connor,Frances O'Connor (attrice 1967),0.9202761
