s,o,entity
Q24241,label,Premio César per la migliore attrice
odang_person_8363309,P166,Q465774
odang_person_8379218,P1412,Q1321
odang_person_6080695,P106,Q183945
Q2779550,label,Maria Schicklgruber
odang_person_4784643,P106,Q4610556
odang_person_7164960,P27,Q518101
odang_person_3584673,P166,Q10855271
odang_person_2391436,P119,Q97
Q1377753,label,European Film Awards per il miglior contributo europeo al cinema mondiale
odang_person_2499676,P26,Q3811609
odang_person_8463686,P106,Q33999
odang_person_2405833,P569,1957
odang_person_1197390,P166,Q1542147
odang_person_7164960,P106,Q4991371
odang_person_8465135,P106,Q183945
odang_person_5997709,P1412,Q652
odang_person_3669468,P19,Q52020
odang_person_3892242,P106,Q3665646
odang_person_4777856,P22,Q127099
odang_person_44110,P569,1970
Q31519,label,Università Carolina
Q3400985,label,accademico
odang_person_8747450,P26,Q349041
odang_person_8438006,P19,Q220
odang_person_7273880,P106,Q1930187
odang_person_60180,P6886,Q652
odang_person_7164960,P1038,Q22572343
odang_person_2423987,P106,Q947873
odang_person_7176358,P21,Q6581097
odang_person_4777859,P27,Q43287
odang_person_1197450,P3373,Q2978381
odang_person_7165335,P166,Q34473235
Q1122656,label,Luigi di Valois-Angoulême
odang_person_1206897,P802,Q3104832
odang_person_2499676,P19,Q490
Q17377625,label,Tim Guetta
odang_person_8464018,P1412,Q652
odang_person_435,P106,Q28389
odang_person_1197450,P106,Q55960555
odang_person_2398661,P1412,Q5146
Q42740,label,Han
odang_person_7177936,P106,Q3455803
odang_person_7165335,P39,Q33205128
odang_person_3691509,P20,Q2044
odang_person_3926006,P1412,Q652
odang_person_8361772,P103,Q7979
odang_person_4777859,P6886,Q1860
odang_person_4777859,P21,Q6581097
odang_person_6073564,P27,Q39
odang_person_7164960,P937,Q153491
odang_person_4778023,P166,Q20857526
odang_person_4777859,P166,Q63315195
odang_person_6079483,P19,Q1897
odang_person_4778921,P26,Q104848490
odang_person_3972227,P21,Q6581097
odang_person_8372530,P569,272
odang_person_4812007,P106,Q2259451
odang_person_2391475,P106,Q6051619
odang_person_3584673,P106,Q96034777
odang_person_7176320,P106,Q131524
odang_person_1610142,P19,Q490
odang_person_1207859,P3373,Q3701801
odang_person_6080888,P21,Q6581097
odang_person_5971849,P166,Q1258149
odang_person_3584673,P166,Q61669648
odang_person_5971849,P21,Q6581097
odang_person_1210952,P3373,Q276023
Q270794,label,National Academy of Sciences
odang_person_1294241,P106,Q4610556
Q434726,label,Stanislao Mattei
odang_person_7172311,P27,Q38
Q233454,label,Scarpa d'oro
odang_person_2776,P53,Q130858
odang_person_7172123,P40,Q15293852
odang_person_2494084,P106,Q639669
Q17125263,label,youtuber
odang_person_2397487,P25,Q96241624
Q791135,label,ordine dell'amicizia
odang_person_3591787,P569,1791
Q157077,label,Maria d'Asburgo
odang_person_3584621,P3373,Q56119579
odang_person_6020648,P19,Q1903
odang_person_4879793,P103,Q1860
odang_person_7165335,P3373,Q549097
odang_person_8465908,P6886,Q652
Q6259,label,Pavia
odang_person_2398661,P569,1974
odang_person_7164998,P166,Q2731483
Q17409133,label,Grande Stella dell'Ordine al merito della Repubblica austriaca
odang_person_8360988,P802,Q296265
odang_person_8370077,P106,Q177220
Q10633,label,Elizabeth Bowes-Lyon
odang_person_2492604,P551,Q490
odang_person_6073564,P21,Q6581072
odang_person_7165544,P3373,Q159660
odang_person_1197390,P26,Q44221
odang_person_4788794,P1412,Q1860
odang_person_6004907,P21,Q6581072
odang_person_8368324,P119,Q38
