n,name
http://www.wikidata.org/entity/Q748433,Matrona
http://www.wikidata.org/entity/Q453020,Amalia
http://www.wikidata.org/entity/Q1715070,Jónína
http://www.wikidata.org/entity/Q12797318,Natali
http://www.wikidata.org/entity/Q9353025,Sława
http://www.wikidata.org/entity/Q9353070,Sławobora
http://www.wikidata.org/entity/Q12797417,Nermina
http://www.wikidata.org/entity/Q12797497,Nikolaja
http://www.wikidata.org/entity/Q768241,Augustina
http://www.wikidata.org/entity/Q769154,Anelma
http://www.wikidata.org/entity/Q12797232,Nadija
http://www.wikidata.org/entity/Q9346752,Stronisława
http://www.wikidata.org/entity/Q9345929,Stojsława
http://www.wikidata.org/entity/Q9357519,Tertuliana
http://www.wikidata.org/entity/Q9357239,Terencja
http://www.wikidata.org/entity/Q12798357,Patricija
http://www.wikidata.org/entity/Q760453,Andelina
http://www.wikidata.org/entity/Q9348863,Sylwina
http://www.wikidata.org/entity/Q1729633,Karja
