s,o,entity
odang_person_2391784,P1038,Q102257613
odang_person_7174394,P3373,Q451256
odang_person_8384962,P802,Q329670
odang_person_1306862,P21,Q6581097
odang_person_5971462,P106,Q10800557
odang_person_8360890,P172,Q6392846
odang_person_1198301,P39,Q27169
odang_person_7164960,P551,Q1563943
odang_person_3609021,P103,Q652
odang_person_7165093,P166,Q87781591
Q22336956,label,operatore umanitario
odang_person_4785694,P166,Q163700
Q1449,label,Genova
odang_person_1197973,P103,Q1860
odang_person_4788830,P106,Q15981151
odang_person_7176268,P108,Q820887
odang_person_8361107,P166,Q10726649
Q3543,label,Potenza
odang_person_2391784,P106,Q7301138
odang_person_3608983,P569,1947
odang_person_6067666,P166,Q1526935
Q1897,label,Cagliari
odang_person_8375004,P937,Q239
Q740308,label,Fondo delle Nazioni Unite per l'infanzia
odang_person_8360890,P166,Q980578
Q72666,label,Somma Vesuviana
odang_person_462941,P569,2000
odang_person_7165053,P106,Q193391
odang_person_7165093,P166,Q2268261
odang_person_8368332,P463,Q1959428
odang_person_8466921,P27,Q38
odang_person_5982258,P106,Q63173086
odang_person_5977378,P1412,Q1860
odang_person_1197595,P166,Q630018
Q41370,label,Davide
odang_person_6032270,P106,Q177220
odang_person_7165093,P26,Q233282
Q3114,label,Canberra
odang_person_2391784,P27,Q30
odang_person_5970915,P106,Q36180
odang_person_7165099,P3373,Q235588
odang_person_8453359,P26,Q1911638
odang_person_107438,P21,Q6581072
odang_person_7165179,P19,Q118958
odang_person_4797793,P102,Q47750
odang_person_8361077,P166,Q12201477
odang_person_7178838,P22,Q745388
odang_person_4778437,P3373,Q292708
odang_person_4777868,P26,Q237618
odang_person_7213015,P106,Q82955
odang_person_7164960,P1038,Q1165052
odang_person_5109197,P569,1957
odang_person_522,P103,Q1860
odang_person_5978725,P103,Q1860
odang_person_8360890,P172,Q49085
Q9648008,label,suonatore di banjo
Q750,label,Bolivia
odang_person_1570458,P1412,Q652
odang_person_5973522,P166,Q17985761
odang_person_4840528,P40,Q75392689
odang_person_391,P106,Q10798782
Q6761,label,Livorno
odang_person_3971509,P106,Q488205
odang_person_2402975,P569,1921
odang_person_4778076,P39,Q27169
Q93713,label,ordine nazionale della Croce del Sud
Q3851090,label,Massimiliano Virgilii
